Type,Subtype,Name,File,Line,RawX,RawY,RawZ,id_a,id_b,id_c,id_d
chest,chest,cryptChestChestView,ExportedProject/Assets/worlds/infiniteDungeon/arenas/infiniteDungeonArenaP1/arena/risen/loot/loot.unity,62540,-229436560,2427450,-145614496,1642554323,1074930417,1761036687,1890628103
chest,chest,royalChestView,ExportedProject/Assets/worlds/infiniteDungeon/entrance/infiniteDungeonMainEntrance/interactives/interactives.unity,468988,-269285472,3810583,-141969984,314322561,1316162443,1220309641,-819864591
chest,chest,tier3SpecialChestViewPlayerHasTablet,ExportedProject/Assets/worlds/infiniteDungeon/rewards/infiniteDungeonRewardA/infiniteDungeonRewardA/default/interactives/interactives.unity,212829,-236256096,4146069,-123593552,1519773107,1077925324,1136950423,-270718438
chest,chest,tier3SpecialChestView,ExportedProject/Assets/worlds/infiniteDungeon/rewards/infiniteDungeonRewardA/infiniteDungeonRewardA/default/interactives/interactives.unity,212950,-236247792,4154669,-123577368,-368587559,1312537958,1828611474,567823906
chest,chest,tier2SmallChestView,ExportedProject/Assets/worlds/isolaSacra/hills/hillsCaveA/loot/loot.unity,35258,110926328,1595762,-81122416,1796970356,1268585563,-2031259753,1354834839
chest,chest,tier3MediumChestView,ExportedProject/Assets/worlds/isolaSacra/marinWoods/marinWoodsA/unbreakableEggReward/default/interactives/interactives.unity,102304,17746952,5933236,25219498,-901466369,1177555489,1357941127,-1363961264
chest,chest,tier3LargeChestView,ExportedProject/Assets/worlds/isolaSacra/marinWoods/marinWoodsA/unbreakableEggReward/default/interactives/interactives.unity,102653,17476486,5925372,25528894,651218606,1282580068,-1796507481,393888108
chest,chest,tier3SpecialChestView,ExportedProject/Assets/worlds/isolaSacra/marinWoods/marinWoodsA/unbreakableEggReward/default/interactives/interactives.unity,106263,17616076,5938938,25418990,1903604738,1118323932,1159582887,-1480734824
chest,chest,tier1MediumChestView,ExportedProject/Assets/worlds/isolaSacra/mountainPass/MountainPassCaveB/loot/loot.unity,126654,90862552,1877540,-80783056,341602493,1170062259,-1811626608,-1678856232
chest,chest,tier1LargeChestView,ExportedProject/Assets/worlds/isolaSacra/mountainPass/MountainPassCaveB/loot/loot.unity,127324,88730328,1877749,-81869664,1839771529,1237918721,-80528999,-431052888
chest,chest,communityChestView,ExportedProject/Assets/worlds/isolaSacra/sacrament/sacramentInteriorRookeryLodgingA/interactives/interactives.unity,1008,125324496,1404895,31019500,524088554,1296453696,-2081216849,1851394293
chest,chest,tier1SmallChestView (1),ExportedProject/Assets/worlds/isolaSacra/sacrament/sacramentWarRoom/interactives/interactives.unity,125478,117873576,3622568,69950280,-740198192,1314863388,1711278523,1789381848
chest,chest,tier1SmallChestView,ExportedProject/Assets/worlds/isolaSacra/sacrament/sacramentWarRoom/interactives/interactives.unity,125599,117714384,4363521,68742872,-1173755305,1284065633,-943956083,233537396
chest,chest,tier1SpecialChestView,ExportedProject/Assets/worlds/isolaSacra/sacrament/sacramentWarRoom/interactives/interactives.unity,145815,118466344,4920049,68697000,2103766223,1237167588,-1670277199,-719072448
chest,chest,tier1SmallChestView,ExportedProject/Assets/worlds/isolaSacra/shipPrologue/shipPrologueInteriorA/interactives/interactives.unity,663387,202123776,1883949,66761956,-762335462,1085741685,2005304473,-331975866
digging,tier1,tier1DigSpotCoastSandAView,ExportedProject/Assets/worlds/isolaSacra/coast/coastA/loot/loot.unity,302399,2050195,804034,2997035,191073348,1177949490,799683506,-790500595
digging,tier1,tier1DigSpotCoastSandAView,ExportedProject/Assets/worlds/isolaSacra/coast/coastA/loot/loot.unity,302724,-4664852,839314,366477,767909376,1158123247,588509842,776127826
digging,tier1,tier1DigSpotCoastSandAView,ExportedProject/Assets/worlds/isolaSacra/coast/coastA/loot/loot.unity,303049,-826408,841482,-346030,-2070847170,1103671498,-1338675558,-1348463306
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/fortress/fortressA/loot/loot.unity,421936,-4384358,1506213,4822860,30784037,1217673926,333286059,2022514259
digging,tier1,tier1DigSpotCoastSandAView,ExportedProject/Assets/worlds/isolaSacra/fortress/fortressA/loot/loot.unity,422261,-9305013,904605,2333075,372444919,1181217065,-966151552,1608445482
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/fortress/fortressA/loot/loot.unity,422586,-8436318,2542993,4210032,969763384,1132500297,30670222,-126360699
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/fortress/fortressA/loot/loot.unity,422911,2071724,1797914,5457707,-1349029636,1305967082,1649887894,-2046307284
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/fortress/fortressA/loot/loot.unity,423236,-4864934,2624651,6018760,158261827,1201490217,-1229293676,1905144044
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/fortress/fortressA/loot/loot.unity,423561,-5938872,2294022,5978849,-1040753812,1156615650,2022379141,-2127296428
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,627381,4453827,3574333,11287265,3627774,1104341019,1884937913,868332432
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,627706,5067899,2547187,2600009,-335648509,1317550417,1952566701,-1410343034
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,628031,5103946,3597315,8356756,-638317598,1278410912,-832277827,2014092758
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,628356,5741413,2882726,5437128,-565766890,1140567308,40106931,1068900235
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,628681,4650681,2552892,3054507,785317762,1308708117,-1648994374,659496420
digging,tier1,tier1DigSpotCoastSandAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,629006,1131806,627048,10320609,-364897411,1177038302,42037936,-1525466093
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,629331,7396458,2147090,9325576,-1272482045,1134872972,-376206708,-911746540
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,629656,6357712,2327096,4372496,260812571,1098782174,-1022957181,-1161453730
digging,tier1,tier1DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,629981,3131506,3302555,10455745,-855784317,1130906474,-453549401,1367080931
digging,tier1,tier1DigSpotCoastSandAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,630306,-1112211,651690,8802075,559087911,1303134981,389984411,-952683418
digging,tier1,tier1DigSpotCoastSandAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,630631,1059717,598999,10007347,-1327884136,1249568562,-2002115919,-280051931
digging,tier1,tier1DigSpotCoastSandAView,ExportedProject/Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,630956,458358,632422,7692091,1899122182,1107932448,-525816922,1138812371
digging,tier2,tier2DigSpotCoastSandAView (1),ExportedProject/Assets/worlds/isolaSacra/coast/coastTowerCellar/loot/loot.unity,189598,126602952,1588592,-75766400,-1327928574,1341419818,975153565,1534431142
digging,tier2,tier2DigSpotCoastSandAView,ExportedProject/Assets/worlds/isolaSacra/coast/coastTowerCellar/loot/loot.unity,189923,125494424,1612972,-76359728,913354193,1088629882,1821609880,-598965600
digging,tier2,tier2DigSpotView,ExportedProject/Assets/worlds/isolaSacra/hills/hillsA/arenaApproach/default/interactives/interactives.unity,18133,12762954,3718600,-10279830,303639784,1340393983,292229787,-189729801
digging,tier2,tier2DigSpotDirtAView (2),ExportedProject/Assets/worlds/isolaSacra/hills/hillsA/arenaEast/default/interactives/interactives.unity,146169,17493722,2523070,-4581228,-1069734426,1219299604,1890041526,837255887
digging,tier2,tier2DigSpotDirtAView,ExportedProject/Assets/worlds/isolaSacra/hills/hillsA/arenaEast/default/interactives/interactives.unity,146494,19285344,2477981,-3015311,-639076752,1327225964,1304602798,325444862
