Type,Subtype,Name,File,RawX,RawY,RawZ,id,Drop,LootSpawnInfo,SpawnConditions,Clazz
fishing,trout,troutFishingSpotPickupView (7),Assets/worlds/isolaSacra/hills/hillsA/loot/loot.unity,15818440,3429105,-11908087,"-1000125347,1290641549,560474784,1551182816","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""402846414938053789""],""filterPool"":[]}]},{""chances"":[{""chance"":70,""count"":0},{""chance"":30,""count"":1}],""items"":[{""specificItem"":[""163932043211063097""],""filterPool"":[]}]},{""chances"":[{""chance"":80,""count"":0},{""chance"":10,""count"":1},{""chance"":5,""count"":2},{""chance"":3,""count"":3}],""items"":[{""specificItem"":[],""filterPool"":[""Rock""]},{""specificItem"":[],""filterPool"":[""Gem""]},{""specificItem"":[],""filterPool"":[""Ember""]},{""specificItem"":[],""filterPool"":[""Gear""]},{""specificItem"":[],""filterPool"":[""Ring""]}]}]}","","",Moon.Forsaken.FarmableResourceView
wood,spruce,spruceCView,Assets/worlds/isolaSacra/sacrament/sacramentA/artEastFarm/artEastFarm.unity,17261440,2087256,5131779,"-1000307918,1139727854,-344971852,-2079633150","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""2466785325384271848""],""filterPool"":[]}]},{""chances"":[{""chance"":90,""count"":0},{""chance"":10,""count"":1}],""items"":[{""specificItem"":[""3062785446694052011""],""filterPool"":[]}]}]}","","",Moon.Forsaken.CuttableTreeView
herb,mushroom,mushroomOrangeAView,Assets/worlds/isolaSacra/outskirts/outskirtsA/loot/loot.unity,6588318,2763770,10070077,"-1003930159,1182409663,-1737160524,-826185029","{""groups"":[{""chances"":[{""chance"":60,""count"":1},{""chance"":35,""count"":2},{""chance"":5,""count"":3}],""items"":[{""specificItem"":[""334358031176021315""],""filterPool"":[]}]}]}","","",Moon.Forsaken.StaticPickupView
npc,npc_other,npcThomAfterBreach,Assets/worlds/isolaSacra/sacrament/sacramentA/npcs/npcs.unity,14626591,3649184,11902045,"-1004538136,1098936507,-1779248221,2089707937","","","{""requiredSpawnConditions"":{""questSteps"":[],""quests"":[{""questGuid"":""3723036162959996460"",""state"":""Completed"",""conditionType"":""And""}],""worldEvents"":[],""timesOfDay"":[],""hasItems"":[],""hasModifiers"":[],""activities"":[],""boons"":[],""hasGold"":null},""disableConditions"":null,""respawnConditions"":null}",Moon.Forsaken.NpcInstance
npc,enemies,npcBalakTawGuardAttentionBow,Assets/worlds/isolaSacra/marinWoods/marinWoodsA/interactives/interactives.unity,14613818,6372553,27638580,"-1005541310,1163636233,-1768121207,-467123181","","","{""requiredSpawnConditions"":{""questSteps"":[{""questGuid"":""689044413925321981"",""state"":""Completed"",""conditionType"":""And""}],""quests"":[],""worldEvents"":[],""timesOfDay"":[],""hasItems"":[],""hasModifiers"":[],""activities"":[],""boons"":[],""hasGold"":null},""disableConditions"":null,""respawnConditions"":null}",Moon.Forsaken.NpcInstance
npc,enemies,risenNormalEnemySpawner,Assets/worlds/isolaSacra/coast/coastA/westBeach/beastAndRisen/interactives/interactives.unity,-4071096,846418,79953,"-1006697784,1218304136,524527549,346212179","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Risen"",""Normal""],""noneTags"":[""Ranged""],""spawnConditions"":[]}","",.DynamicSpawner
npc,enemies,tanthMeleeEnemySpawner (2-4p),Assets/worlds/isolaSacra/hills/hillsA/coastTower/beastAndBoarskinAndTanth/interactives/interactives.unity,3303051,1438372,-720833,"-1007483797,1165259613,2087889301,-229058628","","{""respawnFreq"":""FogCreepBack"",""missChance"":0,""anyTags"":[],""allTags"":[""Melee"",""Tanth""],""noneTags"":[],""spawnConditions"":[""Quantum.QuantumConditionPlayerCount""]}","",.DynamicSpawner
herb,lithops,lithopsHerbView,Assets/worlds/isolaSacra/marinWoods/marinWoodsA/artIrmgardMeadow/artIrmgardMeadow.unity,12207878,4239623,28833804,"-1009702829,1256569726,-1906008404,-677356816","{""groups"":[{""chances"":[{""chance"":50,""count"":1},{""chance"":50,""count"":2}],""items"":[{""specificItem"":[""2460116408179348514""],""filterPool"":[]}]},{""chances"":[{""chance"":75,""count"":0},{""chance"":25,""count"":1}],""items"":[{""specificItem"":[""2690174942439099494""],""filterPool"":[]}]}]}","","",Moon.Forsaken.StaticPickupView
wood,spruce,spruceSmallBView,Assets/worlds/isolaSacra/hills/hillsA/artHillsFishingLake/artHillsFishingLake.unity,4598145,5123518,-6786253,"-1009827557,1123212346,-1651610441,1615423581","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""2466785325384271848""],""filterPool"":[]}]},{""chances"":[{""chance"":90,""count"":0},{""chance"":10,""count"":1}],""items"":[{""specificItem"":[""3062785446694052011""],""filterPool"":[]}]}]}","","",Moon.Forsaken.CuttableTreeView
herb,mushroom,mushroomOrangeAView,Assets/worlds/isolaSacra/mountainPass/mountainPassA/loot/loot.unity,31946550,6867760,16497010,"-1010763462,1158473116,-1955950675,-54644983","{""groups"":[{""chances"":[{""chance"":60,""count"":1},{""chance"":35,""count"":2},{""chance"":5,""count"":3}],""items"":[{""specificItem"":[""334358031176021315""],""filterPool"":[]}]}]}","","",Moon.Forsaken.StaticPickupView
ore,copper,copperOreResourceView,Assets/worlds/isolaSacra/fortress/fortressA/loot/loot.unity,-3774447,929285,3767467,"-1012906230,1232482564,413575590,1114384531","{""groups"":[{""chances"":[{""chance"":100,""count"":1}],""items"":[{""specificItem"":[""1876157270097675752""],""filterPool"":[]}]},{""chances"":[{""chance"":65,""count"":0},{""chance"":35,""count"":1}],""items"":[{""specificItem"":[],""filterPool"":[""Rock""]}]},{""chances"":[{""chance"":99,""count"":0},{""chance"":1,""count"":1}],""items"":[{""specificItem"":[],""filterPool"":[""Gem""]}]}]}","","",Moon.Forsaken.OreVeinView
whisper,whisper,cerimWhisperSpotView,Assets/worlds/isolaSacra/outskirts/outskirtsA/interactives/interactives.unity,6908270,2233467,6313999,"-1012926280,1328191664,-837822586,-712192143","","","",Moon.Forsaken.CerimWhisperView
interactible,ladder,ladderExpand,Assets/worlds/isolaSacra/coast/coastA/interactives/interactives.unity,-4329767,1601356,1642726,"-1014139950,1207957528,-1107823722,958182474","","","",Moon.Forsaken.LadderView
